Kuvasz	5	Learn about Kuvasz
Kyi Leo	1	
Labrador Retriever	19,605	Learn about Labrador Retriever
Lakeland Terrier	7	Learn about Lakeland Terrier
Lancashire Heeler	16	
Leonberger	9	
Lhasa Apso	346	Learn about Lhasa Apso
Lowchen	0	Learn about Lowchen
Maltese	877	Learn about Maltese
Manchester Terrier	155	Learn about Manchester Terrier
Maremma Sheepdog	4	
Mastiff	1,018	Learn about Mastiff
McNab	25	
Miniature Pinscher	1,542	Learn about Miniature Pinscher
Miniature Schnauzer	111	
Mountain Cur	385	
Mountain Dog	68	
Munsterlander	3	
Neapolitan Mastiff	47	Learn about Neapolitan Mastiff
New Guinea Singing Dog	0	
Newfoundland Dog	73	Learn about Newfoundland Dog
Norfolk Terrier	47	Learn about Norfolk Terrier
Norwegian Buhund	3	
Norwegian Elkhound	41	Learn about Norwegian Elkhound
Norwegian Lundehund	0	
Norwich Terrier	40	Learn about Norwich Terrier
Nova Scotia Duck Tolling Retriever	15	
Old English Sheepdog	15	Learn about Old English Sheepdog
Otterhound	3	Learn about Otterhound
Papillon	274	Learn about Papillon
Patterdale Terrier / Fell Terrier	34	
Pekingese	365	Learn about Pekingese
Peruvian Inca Orchid	1	
Petit Basset Griffon Vendeen	16	Learn about Petit Basset Griffon Vendeen
Pharaoh Hound	64	Learn about Pharaoh Hound
Pit Bull Terrier	19,955	Learn about Pit Bull Terrier
Plott Hound	396	
Podengo Portugueso	10	
Pointer	1,340	Learn about Pointer
Polish Lowland Sheepdog	1	
Pomeranian	1,049	Learn about Pomeranian
Poodle	1,879	Learn about Poodle
Portuguese Water Dog	6	Learn about Portuguese Water Dog
Presa Canario	40	
Pug	1,243	Learn about Pug
Puli	1	Learn about Puli
Pumi	0	
Redbone Coonhound	278	
Rhodesian Ridgeback	391	Learn about Rhodesian Ridgeback
Rottweiler	1,578	Learn about Rottweiler
Rough Collie	10	
Saint Bernard / St. Bernard	286	Learn about Saint Bernard / St. Bernard
